Ticket;Open Time;Type;Size;Item;Price;S / L;T / P;Close Time;Price;Commission;Taxes;Swap;Profit;;;;
1520274558;2023.02.28 19:00:00;sell;0.01;audcad;0.91807;0.00000;0.00000;2023.03.01 02:30:02;0.91636;0.00;0.00;0.01;1.25;;;;
1520291145;2023.03.01 00:30:20;buy;0.01;gbpusd;1.20311;0.00000;0.00000;2023.03.01 07:30:17;1.20461;0.00;0.00;0.00;1.50;;;;
1520292415;2023.03.01 01:01:09;buy stop;0.03;usdjpy;136.918;136.749;155.910;2023.03.01 20:59:22;136.163;cancelled;;;;;;;
1520292436;2023.03.01 01:01:10;buy stop;0.03;usdjpy;136.918;136.749;155.910;2023.03.01 20:59:22;136.163;cancelled;;;;;;;
1520292526;2023.03.01 01:07:56;buy stop;0.03;usdjpy;136.677;136.465;159.429;2023.03.01 20:59:22;136.164;cancelled;;;;;;;
1520292532;2023.03.01 01:07:57;buy stop;0.03;usdjpy;136.677;136.465;159.429;2023.03.01 20:59:22;136.164;cancelled;;;;;;;
1520311407;2023.03.01 09:45:00;sell;0.01;xauusd;1834.10;0.00;0.00;2023.03.01 10:08:32;1832.60;0.00;0.00;0.00;1.50;;;;
1520321097;2023.03.01 11:00:00;sell;0.01;gbpusd;1.20796;0.00000;0.00000;2023.03.01 12:00:44;1.20635;0.00;0.00;0.00;1.61;;;;
1520292439;2023.03.01 11:02:35;sell;0.03;usdjpy;135.730;135.900;116.739;2023.03.01 12:07:26;135.900;0.00;0.00;0.00;-3.75;;;;
1520292534;2023.03.01 11:02:35;sell;0.03;usdjpy;135.730;135.910;116.739;2023.03.01 12:07:27;135.913;0.00;0.00;0.00;-4.04;;;;
1520292529;2023.03.01 11:02:35;sell;0.03;usdjpy;135.730;135.910;116.739;2023.03.01 12:07:27;135.913;0.00;0.00;0.00;-4.04;;;;
1520292425;2023.03.01 11:02:35;sell;0.03;usdjpy;135.730;135.900;116.739;2023.03.01 12:07:26;135.900;0.00;0.00;0.00;-3.75;;;;
1520327064;2023.03.01 12:00:00;sell;0.01;eurcad;1.44765;0.00000;0.00000;2023.03.01 20:32:45;1.44993;0.00;0.00;0.00;-1.67;;;;
1520329748;2023.03.01 12:24:01;sell;0.02;eurcad;1.44962;0.00000;0.00000;2023.03.01 20:32:45;1.44993;0.00;0.00;0.00;-0.46;;;;
1520327705;2023.03.01 13:03:50;sell;0.02;usdjpy;135.608;135.532;114.648;2023.03.01 15:06:44;135.540;0.00;0.00;0.00;1.00;;;;
1520327709;2023.03.01 13:03:50;sell;0.02;usdjpy;135.608;135.470;114.648;2023.03.01 15:03:16;135.473;0.00;0.00;0.00;1.99;;;;
1520344890;2023.03.01 14:39:59;sell;0.02;eurcad;1.45163;0.00000;0.00000;2023.03.01 20:32:45;1.44993;0.00;0.00;0.00;2.50;;;;
1520347725;2023.03.01 15:03:17;sell stop;0.02;usdjpy;135.255;135.467;108.647;2023.03.01 20:59:22;136.161;cancelled;;;;;;;
1520348113;2023.03.01 15:06:44;sell stop;0.02;usdjpy;135.255;135.467;108.647;2023.03.01 20:59:22;136.161;cancelled;;;;;;;
1520348808;2023.03.01 15:15:00;sell;0.01;audcad;0.92086;0.00000;0.00000;2023.03.01 16:52:49;0.91935;0.00;0.00;0.00;1.11;;;;
1520349218;2023.03.01 15:20:32;sell;0.03;eurcad;1.45364;0.00000;0.00000;2023.03.01 20:32:45;1.44993;0.00;0.00;0.00;8.18;;;;
1520359446;2023.03.01 17:00:00;sell;0.01;euraud;1.57748;0.00000;0.00000;2023.03.01 17:35:32;1.57891;0.00;0.00;0.00;-0.96;;;;
1520364393;2023.03.01 17:15:00;sell;0.02;euraud;1.58177;0.00000;0.00000;2023.03.01 17:35:32;1.57891;0.00;0.00;0.00;3.86;;;;
1520391302;2023.03.02 01:01:00;sell stop;0.03;usdjpy;135.255;135.440;115.879;2023.03.02 20:59:00;136.726;cancelled;;;;;;;
1520391297;2023.03.02 01:01:00;sell stop;0.03;usdjpy;135.255;135.440;115.879;2023.03.02 20:59:00;136.726;cancelled;;;;;;;
1520391315;2023.03.02 01:01:01;sell stop;0.03;usdjpy;135.702;135.926;113.430;2023.03.02 20:59:00;136.726;cancelled;;;;;;;
1520391322;2023.03.02 01:01:02;sell stop;0.03;usdjpy;135.702;135.926;113.430;2023.03.02 20:59:00;136.726;cancelled;;;;;;;
1520393359;2023.03.02 03:15:00;buy;0.01;eurcad;1.45005;0.00000;0.00000;2023.03.03 14:53:08;1.44198;0.00;0.00;-0.08;-5.94;;;;
1520395513;2023.03.02 04:30:00;buy;0.01;audcad;0.91866;0.00000;0.00000;2023.03.03 14:57:29;0.91777;0.00;0.00;-0.04;-0.65;;;;
1520395517;2023.03.02 04:30:01;buy;0.01;xauusd;1836.02;0.00;0.00;2023.03.02 10:55:25;1834.53;0.00;0.00;0.00;-1.49;;;;
1520396148;2023.03.02 04:47:10;buy;0.02;xauusd;1833.57;0.00;0.00;2023.03.02 10:55:25;1834.50;0.00;0.00;0.00;1.86;;;;
1520391310;2023.03.02 06:35:21;buy;0.03;usdjpy;136.444;136.579;155.468;2023.03.02 10:22:32;136.579;0.00;0.00;0.00;2.97;;;;
1520391318;2023.03.02 06:35:21;buy;0.03;usdjpy;136.444;136.477;155.468;2023.03.02 10:33:59;136.477;0.00;0.00;0.00;0.73;;;;
1520391715;2023.03.02 06:39:57;buy;0.03;usdjpy;136.473;136.579;155.842;2023.03.02 10:22:32;136.579;0.00;0.00;0.00;2.33;;;;
1520391718;2023.03.02 06:39:57;buy;0.03;usdjpy;136.473;136.507;155.842;2023.03.02 10:31:37;136.507;0.00;0.00;0.00;0.75;;;;
