Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
10.02.2023 11:00;Sell Stop;0.26;USDJPY;129.806;130.136;96.574;10.02.2023 20:59;131.552;;;;cancelled
10.02.2023 11:00;Sell Stop;0.26;USDJPY;129.806;130.136;96.574;10.02.2023 20:59;131.551;;;;cancelled
10.02.2023 4:21;Buy Stop;0.32;USDJPY;131.883;131.599;156.571;10.02.2023 20:59;131.552;;;;cancelled
10.02.2023 4:21;Buy Stop;0.32;USDJPY;131.883;131.599;156.571;10.02.2023 20:59;131.551;;;;cancelled
10.02.2023 10:00;Sell;0.34;USDJPY;130.243;130.615;106.532;10.02.2023 10:38;130.626;-2.38;;-99.69;[sl]
10.02.2023 10:00;Sell;0.34;USDJPY;130.243;130.615;106.532;10.02.2023 10:38;130.626;-2.38;;-99.69;[sl]
10.02.2023 10:00;Sell;0.36;USDJPY;130.243;130.600;106.532;10.02.2023 10:38;130.610;-2.52;;-101.16;[sl]
10.02.2023 10:00;Sell;0.36;USDJPY;130.243;130.600;106.532;10.02.2023 10:38;130.610;-2.52;;-101.16;[sl]
10.02.2023 3:34;Buy;0.34;USDJPY;131.893;131.553;155.636;10.02.2023 4:21;131.549;-2.38;;-88.91;[sl]
10.02.2023 3:34;Buy;0.34;USDJPY;131.893;131.553;155.636;10.02.2023 4:21;131.549;-2.38;;-88.91;[sl]
09.02.2023 17:32;Sell Stop;0.31;USDJPY;130.340;130.639;106.532;09.02.2023 20:59;131.421;;;;cancelled
09.02.2023 7:45;Buy Stop;0.33;USDJPY;131.828;131.543;151.540;09.02.2023 20:59;131.424;;;;cancelled
09.02.2023 17:32;Sell Stop;0.31;USDJPY;130.340;130.639;106.532;09.02.2023 20:59;131.423;;;;cancelled
09.02.2023 7:45;Buy Stop;0.34;USDJPY;131.828;131.544;151.540;09.02.2023 20:59;131.423;;;;cancelled
09.02.2023 15:30;Sell;0.38;USDJPY;130.640;130.940;111.819;09.02.2023 17:32;130.944;-2.66;;-88.22;[sl]
09.02.2023 15:30;Sell;0.38;USDJPY;130.640;130.940;111.819;09.02.2023 17:32;130.944;-2.66;;-88.22;[sl]
09.02.2023 15:31;Sell;0.40;USDJPY;130.600;130.840;115.508;09.02.2023 17:25;130.834;-2.80;;-71.54;[sl]
