Ticket;Open Time;Type;Size;Item;Price;S / L;T / P;Close Time;Price;Commission;Taxes;Swap;Profit;
121408155;26.09.2022 3:15;buy;0.33;usdjpy;143.634;143.907;173.602;26.09.2022 8:46;143.907;-2,31;0,00;0,00;62,60;
121408253;26.09.2022 3:15;buy;0.33;usdjpy;143.634;143.688;173.602;26.09.2022 8:46;143.688;-2,31;0,00;0,00;12,40;
121736428;26.09.2022 13:57;buy;0.31;usdjpy;144.261;143.913;182.037;26.09.2022 15:25;143.913;-2,17;0,00;0,00;-74,96;
121736852;26.09.2022 13:57;buy;0.31;usdjpy;144.261;143.913;182.037;26.09.2022 15:25;143.913;-2,17;0,00;0,00;-74,96;
122101593;26.09.2022 18:01;buy;0.30;usdjpy;144.373;144.021;178.133;26.09.2022 21:00;144.722;-2,10;0,00;0,00;72,35;
122101617;26.09.2022 18:01;buy;0.30;usdjpy;144.373;144.021;178.133;26.09.2022 21:00;144.721;-2,10;0,00;0,00;72,14;
122497511;27.09.2022 17:00;buy;0.32;usdjpy;144.788;144.448;169.380;28.09.2022 0:07;144.796;-2,24;0,00;1,99;1,77;
122498630;27.09.2022 17:00;buy;0.32;usdjpy;144.788;144.448;169.380;28.09.2022 0:07;144.796;-2,24;0,00;1,99;1,77;
122667146;27.09.2022 17:00;buy;0.33;usdjpy;144.788;144.458;169.364;28.09.2022 0:07;144.796;-2,31;0,00;2,06;1,82;
122667337;27.09.2022 17:00;buy;0.33;usdjpy;144.788;144.458;169.364;28.09.2022 0:07;144.796;-2,31;0,00;2,06;1,82;
123194033;28.09.2022 19:02;sell;0.35;usdjpy;144.058;144.371;130.538;28.09.2022 22:00;143.991;-2,45;0,00;0,00;16,29;
123194101;28.09.2022 19:02;sell;0.35;usdjpy;144.058;144.371;130.538;28.09.2022 22:00;143.992;-2,45;0,00;0,00;16,04;
123194245;28.09.2022 18:53;sell;0.33;usdjpy;144.243;144.591;133.683;28.09.2022 21:39;144.069;-2,31;0,00;0,00;39,86;
123194307;28.09.2022 18:53;sell;0.33;usdjpy;144.243;144.591;133.683;28.09.2022 21:39;144.069;-2,31;0,00;0,00;39,86;
124933635;30.09.2022 18:02;buy;0.62;usdjpy;144.778;144.586;153.962;30.09.2022 18:15;144.586;-4,34;0,00;0,00;-82,33;
124933666;30.09.2022 10:17;sell;0.62;usdjpy;144.260;144.449;135.572;30.09.2022 10:38;144.449;-4,34;0,00;0,00;-81,12;
124933681;30.09.2022 18:02;buy;0.62;usdjpy;144.778;144.586;153.962;30.09.2022 18:15;144.586;-4,34;0,00;0,00;-82,33;
124933707;30.09.2022 10:17;sell;0.62;usdjpy;144.260;144.449;135.572;30.09.2022 10:38;144.449;-4,34;0,00;0,00;-81,12;
125204409;30.09.2022 11:10;sell;0.57;usdjpy;144.252;144.442;135.436;30.09.2022 12:59;144.442;-3,99;0,00;0,00;-74,98;
125204545;30.09.2022 11:10;sell;0.57;usdjpy;144.252;144.442;135.436;30.09.2022 12:59;144.442;-3,99;0,00;0,00;-74,98;
125806009;03.10.2022 18:15;sell;0.77;usdjpy;144.204;144.341;134.572;03.10.2022 18:23;144.341;-5,39;0,00;0,00;-73,08;
125806128;03.10.2022 18:15;sell;0.77;usdjpy;144.204;144.341;134.572;03.10.2022 18:23;144.341;-5,39;0,00;0,00;-73,08;
125806163;03.10.2022 8:45;buy;0.15;gbpjpy;162.172;162.374;205.916;03.10.2022 13:53;162.374;-1,05;0,00;0,00;20,88;
125806186;03.10.2022 2:02;buy;0.73;usdjpy;144.806;144.661;154.438;03.10.2022 3:20;144.661;-5,11;0,00;0,00;-73,17;
125806192;03.10.2022 17:00;buy;0.46;nzdjpy;82.436;82.475;106.324;03.10.2022 21:00;82.597;-3,22;0,00;0,00;51,20;
125806231;03.10.2022 17:50;sell;0.73;usdjpy;144.432;144.598;130.544;03.10.2022 19:28;144.598;-5,11;0,00;0,00;-83,80;
125806252;03.10.2022 8:45;buy;0.15;gbpjpy;162.172;162.374;205.916;03.10.2022 15:04;162.374;-1,05;0,00;0,00;20,91;
125806260;03.10.2022 2:02;buy;0.73;usdjpy;144.806;144.661;154.438;03.10.2022 3:20;144.661;-5,11;0,00;0,00;-73,17;
125806278;03.10.2022 17:00;buy;0.46;nzdjpy;82.436;82.165;106.324;03.10.2022 21:00;82.597;-3,22;0,00;0,00;51,20;
125806286;03.10.2022 17:50;sell;0.73;usdjpy;144.432;144.598;130.544;03.10.2022 19:28;144.598;-5,11;0,00;0,00;-83,80;
125806457;03.10.2022 15:55;buy;0.68;cadjpy;105.791;105.636;124.671;03.10.2022 17:00;105.636;-4,76;0,00;0,00;-72,83;
125806509;03.10.2022 15:55;buy;0.68;cadjpy;105.791;105.636;124.671;03.10.2022 17:00;105.636;-4,76;0,00;0,00;-72,83;
125806713;03.10.2022 15:34;buy;0.64;cadjpy;105.599;105.694;121.679;03.10.2022 18:01;105.694;-4,48;0,00;0,00;42,09;
125806780;03.10.2022 15:34;buy;0.64;cadjpy;105.599;105.631;121.679;03.10.2022 18:09;105.631;-4,48;0,00;0,00;14,19;
125819162;03.10.2022 12:48;sell;0.39;chfjpy;146.503;145.943;113.655;03.10.2022 21:00;145.481;-2,73;0,00;0,00;275,54;
125819180;03.10.2022 12:48;sell;0.39;chfjpy;146.503;146.207;113.655;03.10.2022 21:00;145.477;-2,73;0,00;0,00;276,61;
125828854;03.10.2022 8:45;buy;0.16;gbpjpy;162.172;162.374;205.916;03.10.2022 13:53;162.374;-1,12;0,00;0,00;22,27;
125828862;03.10.2022 8:45;buy;0.16;gbpjpy;162.172;162.374;205.916;03.10.2022 15:04;162.374;-1,12;0,00;0,00;22,30;
125853728;03.10.2022 7:02;buy;0.67;usdjpy;144.890;144.736;155.866;03.10.2022 7:16;144.736;-4,69;0,00;0,00;-71,29;
125853765;03.10.2022 7:02;buy;0.67;usdjpy;144.890;144.925;155.866;03.10.2022 7:16;144.925;-4,69;0,00;0,00;16,18;
126204358;03.10.2022 18:07;buy;0.14;gbpjpy;163.291;162.527;224.939;03.10.2022 21:34;163.666;-0,98;0,00;0,00;36,29;
126245896;03.10.2022 18:07;buy;0.14;gbpjpy;163.291;162.527;224.939;03.10.2022 21:34;163.664;-0,98;0,00;0,00;36,10;
126596511;04.10.2022 19:10;sell;0.84;usdjpy;144.157;144.283;125.869;04.10.2022 20:15;144.283;-5,88;0,00;0,00;-73,36;
126596566;04.10.2022 3:17;buy;0.20;gbpjpy;163.893;164.440;217.045;04.10.2022 12:08;164.440;-1,40;0,00;0,00;75,58;
126596640;04.10.2022 19:10;sell;0.84;usdjpy;144.157;144.283;125.869;04.10.2022 20:15;144.283;-5,88;0,00;0,00;-73,36;
126596710;04.10.2022 19:10;sell;0.79;usdjpy;144.157;144.291;125.869;04.10.2022 20:15;144.291;-5,53;0,00;0,00;-73,37;
126596740;04.10.2022 19:10;sell;0.79;usdjpy;144.157;144.291;125.869;04.10.2022 20:15;144.291;-5,53;0,00;0,00;-73,37;
126596774;04.10.2022 4:22;buy;0.61;cadjpy;106.224;106.390;132.304;04.10.2022 11:03;106.390;-4,27;0,00;0,00;70,01;
126596842;04.10.2022 9:17;buy;0.43;nzdjpy;82.812;82.566;112.716;04.10.2022 13:51;82.566;-3,01;0,00;0,00;-73,10;
126596911;04.10.2022 18:15;buy;0.40;chfjpy;147.377;147.109;182.129;04.10.2022 18:58;147.109;-2,80;0,00;0,00;-74,29;
126596914;04.10.2022 18:15;buy;0.40;chfjpy;147.377;147.109;182.129;04.10.2022 18:58;147.109;-2,80;0,00;0,00;-74,29;
126596915;04.10.2022 15:54;buy;0.37;chfjpy;146.816;147.107;172.592;04.10.2022 20:09;147.107;-2,59;0,00;0,00;74,64;
126596920;04.10.2022 15:54;buy;0.37;chfjpy;146.816;146.871;172.592;04.10.2022 21:00;147.050;-2,59;0,00;0,00;60,06;
126597533;04.10.2022 3:17;buy;0.20;gbpjpy;163.893;164.048;217.045;04.10.2022 12:26;164.048;-1,40;0,00;0,00;21,41;
126597945;04.10.2022 9:17;buy;0.43;nzdjpy;82.812;82.855;112.716;04.10.2022 12:08;82.855;-3,01;0,00;0,00;12,77;
